userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,content_casefold,content_tokenized,content_stemmed,content_filtered,label
Aditya Putra,"terlalu banyak bug, fitur pencarian masih kalah dengan aplikasi pesaing",1,11.15.1,2025-10-06 16:23:42,,,"terlalu banyak bug, fitur pencarian masih kalah dengan aplikasi pesaing","['terlalu', 'banyak', 'bug', 'fitur', 'pencarian', 'masih', 'kalah', 'dengan', 'aplikasi', 'pesaing']","['terlalu', 'banyak', 'bug', 'fitur', 'cari', 'masih', 'kalah', 'dengan', 'aplikasi', 'saing']","['bug', 'fitur', 'cari', 'kalah', 'saing']",negative
Debi Xiaomi,kpn GK bisa Masuk aku k aplikasi ada ganguan kah. tolong dong bntu saya,5,11.15.1,2025-10-06 16:15:06,,,kpn gk bisa masuk aku k aplikasi ada ganguan kah. tolong dong bntu saya,"['kpn', 'tidak', 'bisa', 'masuk', 'aku', 'aplikasi', 'ada', 'ganguan', 'kah', 'tolong', 'dong', 'bntu', 'saya']","['kpn', 'tidak', 'bisa', 'masuk', 'aku', 'aplikasi', 'ada', 'ganguan', 'kah', 'tolong', 'dong', 'bntu', 'saya']","['kpn', 'masuk', 'ganguan', 'bntu']",positive
Fauzan Harahap,"aneh, cerita bagus malah underrated, sedangkan cerita yang ‘pasaran’ malah rating teratas.",1,,2025-10-06 14:45:51,,,"aneh, cerita bagus malah underrated, sedangkan cerita yang ‘pasaran’ malah rating teratas.","['aneh', 'cerita', 'bagus', 'malah', 'underrated', 'sedangkan', 'cerita', 'yang', 'pasaran', 'malah', 'rating', 'teratas']","['aneh', 'cerita', 'bagus', 'malah', 'underrated', 'sedang', 'cerita', 'yang', 'pasar', 'malah', 'rating', 'atas']","['aneh', 'cerita', 'underrated', 'sedang', 'cerita', 'pasar', 'rating', 'atas']",negative
Oktavia Al Aqsha,"nge bug mulu, eror terus. gmn sih ini",1,11.15.1,2025-10-06 14:42:09,,,"nge bug mulu, eror terus. gmn sih ini","['nge', 'bug', 'mulu', 'error', 'terus', 'gimana', 'sih', 'ini']","['nge', 'bug', 'mulu', 'error', 'terus', 'gimana', 'sih', 'ini']","['bug', 'error']",negative
Yohanes Manullang,aplikasi nya bagus banget tapi terkadang kalau vote kadang error tolong di revisi lagi ya,5,11.15.1,2025-10-06 14:20:56,,,aplikasi nya bagus banget tapi terkadang kalau vote kadang error tolong di revisi lagi ya,"['aplikasi', 'nya', 'bagus', 'banget', 'tapi', 'terkadang', 'kalau', 'vote', 'kadang', 'error', 'tolong', 'di', 'revisi', 'lagi', 'iya']","['aplikasi', 'nya', 'bagus', 'banget', 'tapi', 'terkadang', 'kalau', 'vote', 'kadang', 'error', 'tolong', 'di', 'revisi', 'lagi', 'iya']","['vote', 'error', 'revisi']",positive
Do you Know BTS???,"kenapa aku harus ditagih 2x??? pertama aku udh klik berlangganan dri playstore, pas buka aplikasi nya masih ada iklan. iseng klik berlangganan lagi, aku kira bkal ada tulisan ""anda sudah berlangganan"", tapi ternyata tetep di ambil uangnya. awas aja klo bulan depan aku masih harus kluar duit.",3,11.15.1,2025-10-06 14:19:51,,,"kenapa aku harus ditagih 2x??? pertama aku udh klik berlangganan dri playstore, pas buka aplikasi nya masih ada iklan. iseng klik berlangganan lagi, aku kira bkal ada tulisan ""anda sudah berlangganan"", tapi ternyata tetep di ambil uangnya. awas aja klo bulan depan aku masih harus kluar duit.","['kenapa', 'aku', 'harus', 'ditagih', 'kali', 'pertama', 'aku', 'sudah', 'klik', 'erlang', 'gan', 'an', 'dari', 'playstore', 'pas', 'buka', 'aplikasi', 'nya', 'masih', 'ada', 'iklan', 'iseng', 'klik', 'erlang', 'gan', 'an', 'lagi', 'aku', 'kira', 'bkal', 'ada', 'tulisan', 'anda', 'sudah', 'erlang', 'gan', 'an', 'tapi', 'ternyata', 'tetap', 'di', 'ambil', 'uangnya', 'awas', 'aja', 'kalau', 'bulan', 'depan', 'aku', 'masih', 'harus', 'kluar', 'uang']","['kenapa', 'aku', 'harus', 'tagih', 'kali', 'pertama', 'aku', 'sudah', 'klik', 'erlang', 'gan', 'an', 'dari', 'playstore', 'pas', 'buka', 'aplikasi', 'nya', 'masih', 'ada', 'iklan', 'iseng', 'klik', 'erlang', 'gan', 'an', 'lagi', 'aku', 'kira', 'bkal', 'ada', 'tulis', 'anda', 'sudah', 'erlang', 'gan', 'an', 'tapi', 'nyata', 'tetap', 'di', 'ambil', 'uang', 'awas', 'aja', 'kalau', 'bulan', 'depan', 'aku', 'masih', 'harus', 'kluar', 'uang']","['tagih', 'klik', 'an', 'playstore', 'iklan', 'iseng', 'klik', 'an', 'bkal', 'tulis', 'an', 'ambil', 'uang', 'awas', 'kluar', 'uang']",neutral
Remiella Id,"Saya baru saja menulis bab 1, masih draft bahkan belum saya publish sama sekali. Pengikut saya bahkan baru satu tapi kenapa kalian malah blokir akun saya bahkan cerita yang saya buat hilang dalam sekejap? menyebalkan sekali, sungguh. Ini membuatku merasa muak, seolah-olah kalian mempermainkan saya.",1,,2025-10-06 14:04:31,,,"saya baru saja menulis bab 1, masih draft bahkan belum saya publish sama sekali. pengikut saya bahkan baru satu tapi kenapa kalian malah blokir akun saya bahkan cerita yang saya buat hilang dalam sekejap? menyebalkan sekali, sungguh. ini membuatku merasa muak, seolah-olah kalian mempermainkan saya.","['saya', 'baru', 'saja', 'menulis', 'bab', 'masih', 'draft', 'bahkan', 'belum', 'saya', 'publish', 'sama', 'sekali', 'pengikut', 'saya', 'bahkan', 'baru', 'satu', 'tapi', 'kenapa', 'kalian', 'malah', 'blokir', 'akun', 'saya', 'bahkan', 'cerita', 'yang', 'saya', 'buat', 'hilang', 'dalam', 'sekejap', 'men', 'ye', 'balkan', 'sekali', 'sungguh', 'ini', 'membuatku', 'merasa', 'muak', 'seolah', 'olah', 'kalian', 'mem', 'per', 'main', 'kan', 'saya']","['saya', 'baru', 'saja', 'tulis', 'bab', 'masih', 'draft', 'bahkan', 'belum', 'saya', 'publish', 'sama', 'sekali', 'ikut', 'saya', 'bahkan', 'baru', 'satu', 'tapi', 'kenapa', 'kalian', 'malah', 'blokir', 'akun', 'saya', 'bahkan', 'cerita', 'yang', 'saya', 'buat', 'hilang', 'dalam', 'kejap', 'men', 'ye', 'bal', 'sekali', 'sungguh', 'ini', 'buat', 'rasa', 'muak', 'olah', 'olah', 'kalian', 'mem', 'per', 'main', 'kan', 'saya']","['tulis', 'bab', 'draft', 'publish', 'blokir', 'akun', 'cerita', 'hilang', 'kejap', 'ye', 'bal', 'sungguh', 'rasa', 'muak', 'olah', 'olah', 'main']",negative
Hanifah Hani,suka banget soalnya kalo lagi gak punya kuota bisa baca offline,5,,2025-10-06 13:53:45,,,suka banget soalnya kalo lagi gak punya kuota bisa baca offline,"['suka', 'banget', 'soalnya', 'kalau', 'lagi', 'tidak', 'punya', 'kuota', 'bisa', 'baca', 'offline']","['suka', 'banget', 'soal', 'kalau', 'lagi', 'tidak', 'punya', 'kuota', 'bisa', 'baca', 'offline']","['suka', 'kuota', 'baca', 'offline']",positive
KHALISHA NAURAH HANDRIA Naura Handria,kenapa sekarang banyak sekali bug di wp padahal wifi sinyal nya bagus pas login Wattpad malah gak bisa,1,,2025-10-06 13:09:45,,,kenapa sekarang banyak sekali bug di wp padahal wifi sinyal nya bagus pas login wattpad malah gak bisa,"['kenapa', 'sekarang', 'banyak', 'sekali', 'bug', 'di', 'wattpad', 'padahal', 'wifi', 'sinyal', 'nya', 'bagus', 'pas', 'login', 'wattpad', 'malah', 'tidak', 'bisa']","['kenapa', 'sekarang', 'banyak', 'sekali', 'bug', 'di', 'wattpad', 'padahal', 'wifi', 'sinyal', 'nya', 'bagus', 'pas', 'login', 'wattpad', 'malah', 'tidak', 'bisa']","['bug', 'wifi', 'sinyal', 'login']",negative
Nur Faizin,apknya bagus semoga suatu saat nanti ada fitur penerjemah bahasa,4,11.15.1,2025-10-06 12:05:29,,,apknya bagus semoga suatu saat nanti ada fitur penerjemah bahasa,"['aplikasi', 'bagus', 'semoga', 'suatu', 'saat', 'nanti', 'ada', 'fitur', 'penerjemah', 'bahasa']","['aplikasi', 'bagus', 'moga', 'suatu', 'saat', 'nanti', 'ada', 'fitur', 'terjemah', 'bahasa']","['suatu', 'fitur', 'bahasa']",positive
Septia Eka Safitri,kenapa nggak bisa baca offline,1,11.15.1,2025-10-06 10:48:03,,,kenapa nggak bisa baca offline,"['kenapa', 'tidak', 'bisa', 'baca', 'offline']","['kenapa', 'tidak', 'bisa', 'baca', 'offline']","['baca', 'offline']",negative
Who?,"wattpad udah jadi aplikasi favorit aku buat baca novel atau nulis novel saat ada waktu luang. tapi, makin lama bukannya upgrade malah downgrade. banyak bug. tidak bisa tersambung, katanya ""tidak ada internet""?? padahal wifi saya baik baik saja. saya pakai untuk buka aplikasi lain juga tidak ada problem sama sekali. ulasan tentang bug sudah ada banyak dan lama sekali, tapi tidak ada kemajuan. kritikan-kritikan dari pengguna tidak pernah kalian anggap serius kah? tolong diperbaiki!",2,11.15.1,2025-10-06 06:53:13,,,"wattpad udah jadi aplikasi favorit aku buat baca novel atau nulis novel saat ada waktu luang. tapi, makin lama bukannya upgrade malah downgrade. banyak bug. tidak bisa tersambung, katanya ""tidak ada internet""?? padahal wifi saya baik baik saja. saya pakai untuk buka aplikasi lain juga tidak ada problem sama sekali. ulasan tentang bug sudah ada banyak dan lama sekali, tapi tidak ada kemajuan. kritikan-kritikan dari pengguna tidak pernah kalian anggap serius kah? tolong diperbaiki!","['wattpad', 'sudah', 'jadi', 'aplikasi', 'favorit', 'aku', 'buat', 'baca', 'novel', 'atau', 'nulis', 'novel', 'saat', 'ada', 'waktu', 'luang', 'tapi', 'makin', 'lama', 'bukannya', 'upgrade', 'malah', 'downgrade', 'banyak', 'bug', 'tidak', 'bisa', 'tersambung', 'katanya', 'tidak', 'ada', 'internet', 'padahal', 'wifi', 'saya', 'baik', 'baik', 'saja', 'saya', 'pakai', 'untuk', 'buka', 'aplikasi', 'lain', 'juga', 'tidak', 'ada', 'problem', 'sama', 'sekali', 'ulasan', 'tentang', 'bug', 'sudah', 'ada', 'banyak', 'dan', 'lama', 'sekali', 'tapi', 'tidak', 'ada', 'kemajuan', 'kritikan', 'kritikan', 'dari', 'pengguna', 'tidak', 'pernah', 'kalian', 'anggap', 'serius', 'kah', 'tolong', 'diperbaiki']","['wattpad', 'sudah', 'jadi', 'aplikasi', 'favorit', 'aku', 'buat', 'baca', 'novel', 'atau', 'nulis', 'novel', 'saat', 'ada', 'waktu', 'luang', 'tapi', 'makin', 'lama', 'bukan', 'upgrade', 'malah', 'downgrade', 'banyak', 'bug', 'tidak', 'bisa', 'sambung', 'kata', 'tidak', 'ada', 'internet', 'padahal', 'wifi', 'saya', 'baik', 'baik', 'saja', 'saya', 'pakai', 'untuk', 'buka', 'aplikasi', 'lain', 'juga', 'tidak', 'ada', 'problem', 'sama', 'sekali', 'ulas', 'tentang', 'bug', 'sudah', 'ada', 'banyak', 'dan', 'lama', 'sekali', 'tapi', 'tidak', 'ada', 'maju', 'kritik', 'kritik', 'dari', 'guna', 'tidak', 'pernah', 'kalian', 'anggap', 'serius', 'kah', 'tolong', 'baik']","['favorit', 'baca', 'novel', 'nulis', 'novel', 'waktu', 'luang', 'lama', 'upgrade', 'downgrade', 'bug', 'kata', 'internet', 'wifi', 'baik', 'baik', 'problem', 'ulas', 'bug', 'lama', 'maju', 'kritik', 'kritik', 'anggap', 'baik']",negative
Kaniadewi Setiawan,gak bis daftar error mulu,3,11.15.1,2025-10-06 04:20:45,,,gak bis daftar error mulu,"['tidak', 'bis', 'daftar', 'error', 'mulu']","['tidak', 'bis', 'daftar', 'error', 'mulu']","['bis', 'daftar', 'error']",neutral
Laitisya Abadi,tidak bisa masuk,1,11.15.1,2025-10-06 03:29:17,,,tidak bisa masuk,"['tidak', 'bisa', 'masuk']","['tidak', 'bisa', 'masuk']",['masuk'],negative
Ar Yuni,seru aja baca di WP tuh gak banyak iklan. cuma bayar cerita yang seru tapi gak di lanjutin,5,11.15.1,2025-10-06 02:10:36,,,seru aja baca di wp tuh gak banyak iklan. cuma bayar cerita yang seru tapi gak di lanjutin,"['seru', 'aja', 'baca', 'di', 'wattpad', 'tuh', 'tidak', 'banyak', 'iklan', 'cuma', 'bayar', 'cerita', 'yang', 'seru', 'tapi', 'tidak', 'di', 'lanjutin']","['seru', 'aja', 'baca', 'di', 'wattpad', 'tuh', 'tidak', 'banyak', 'iklan', 'cuma', 'bayar', 'cerita', 'yang', 'seru', 'tapi', 'tidak', 'di', 'lanjutin']","['seru', 'baca', 'iklan', 'bayar', 'cerita', 'seru', 'lanjutin']",positive
zara dya,"Knpa makin kesini makin buruk apk nya, makin di update makin gaada kualitas nya. Contohnya, knpa yg bisa di baca offline skrg cuma 2 crta, jauh skli dari yg sblm nya yg bisa baca 25 cerita offline. Dan pas saya baca crta suka di alihkan ke website entah apa itu. Tolong kembalikan Wattpad dalam versi jaman covid. Percaya deh Wattpad jaman itu beneran seru bgt",1,11.15.1,2025-10-05 23:05:46,,,"knpa makin kesini makin buruk apk nya, makin di update makin gaada kualitas nya. contohnya, knpa yg bisa di baca offline skrg cuma 2 crta, jauh skli dari yg sblm nya yg bisa baca 25 cerita offline. dan pas saya baca crta suka di alihkan ke website entah apa itu. tolong kembalikan wattpad dalam versi jaman covid. percaya deh wattpad jaman itu beneran seru bgt","['kenapa', 'makin', 'kesini', 'makin', 'buruk', 'aplikasi', 'nya', 'makin', 'di', 'update', 'makin', 'gaada', 'kualitas', 'nya', 'contohnya', 'kenapa', 'yang', 'bisa', 'di', 'baca', 'offline', 'sekarang', 'cuma', 'crta', 'jauh', 'skli', 'dari', 'yang', 'sblm', 'nya', 'yang', 'bisa', 'baca', 'cerita', 'offline', 'dan', 'pas', 'saya', 'baca', 'crta', 'suka', 'di', 'alihkan', 'ke', 'website', 'gabisa', 'apa', 'itu', 'tolong', 'kembalikan', 'wattpad', 'dalam', 'versi', 'jaman', 'covid', 'percaya', 'deh', 'wattpad', 'jaman', 'itu', 'beneran', 'seru', 'banget']","['kenapa', 'makin', 'kesini', 'makin', 'buruk', 'aplikasi', 'nya', 'makin', 'di', 'update', 'makin', 'gaada', 'kualitas', 'nya', 'contoh', 'kenapa', 'yang', 'bisa', 'di', 'baca', 'offline', 'sekarang', 'cuma', 'crta', 'jauh', 'skli', 'dari', 'yang', 'sblm', 'nya', 'yang', 'bisa', 'baca', 'cerita', 'offline', 'dan', 'pas', 'saya', 'baca', 'crta', 'suka', 'di', 'alih', 'ke', 'website', 'gabisa', 'apa', 'itu', 'tolong', 'kembali', 'wattpad', 'dalam', 'versi', 'jaman', 'covid', 'percaya', 'deh', 'wattpad', 'jaman', 'itu', 'beneran', 'seru', 'banget']","['buruk', 'update', 'kualitas', 'baca', 'offline', 'crta', 'jauh', 'skli', 'sblm', 'baca', 'cerita', 'offline', 'baca', 'crta', 'suka', 'website', 'gabisa', 'versi', 'percaya', 'seru']",negative
Lee Minjoo,kapan bisa buka wattpadnya... tolong percepat perbaikinnya doong😭😭,2,11.15.1,2025-10-05 21:52:01,,,kapan bisa buka wattpadnya... tolong percepat perbaikinnya doong😭😭,"['kapan', 'bisa', 'buka', 'wattpad', 'tolong', 'percepat', 'per', 'baik', 'in', 'nya', 'doong']","['kapan', 'bisa', 'buka', 'wattpad', 'tolong', 'cepat', 'per', 'baik', 'in', 'nya', 'doong']","['kapan', 'cepat', 'baik', 'in', 'doong']",negative
Via,terlalu banyak iklan.bentar bentar sudah iklan memuakan 😒. tolong di perbaiki lagi,1,11.15.1,2025-10-05 21:51:24,,,terlalu banyak iklan.bentar bentar sudah iklan memuakan 😒. tolong di perbaiki lagi,"['terlalu', 'banyak', 'iklan', 'bentar', 'bentar', 'sudah', 'iklan', 'memuakan', 'tolong', 'di', 'perbaiki', 'lagi']","['terlalu', 'banyak', 'iklan', 'bentar', 'bentar', 'sudah', 'iklan', 'mua', 'tolong', 'di', 'baik', 'lagi']","['iklan', 'bentar', 'bentar', 'iklan', 'mua', 'baik']",negative
Keyla Az-Zahra Aqmela,kapan mau di perbaiki?,3,11.15.1,2025-10-05 17:11:44,,,kapan mau di perbaiki?,"['kapan', 'mau', 'di', 'perbaiki']","['kapan', 'mau', 'di', 'baik']","['kapan', 'baik']",neutral
Nazwa Khairunnisa,banyak iklannya,1,,2025-10-05 15:54:52,,,banyak iklannya,"['banyak', 'iklannya']","['banyak', 'iklan']",['iklan'],negative
Faiz Rf,aplikasi apaan gk bisa login dah nyoba slama sminggu gk bsa masuk,1,11.15.1,2025-10-05 15:30:38,,,aplikasi apaan gk bisa login dah nyoba slama sminggu gk bsa masuk,"['aplikasi', 'apaan', 'tidak', 'bisa', 'login', 'dah', 'nyoba', 'slama', 'sminggu', 'tidak', 'bisa', 'masuk']","['aplikasi', 'apa', 'tidak', 'bisa', 'login', 'dah', 'nyoba', 'slama', 'sminggu', 'tidak', 'bisa', 'masuk']","['login', 'nyoba', 'slama', 'sminggu', 'masuk']",negative
elvy wida,"jelek banget suka sama vitur 2020,wetty nya juga ilang",3,,2025-10-05 15:08:42,,,"jelek banget suka sama vitur 2020,wetty nya juga ilang","['jelek', 'banget', 'suka', 'sama', 'vitur', 'wetty', 'nya', 'juga', 'hilang']","['jelek', 'banget', 'suka', 'sama', 'vitur', 'wetty', 'nya', 'juga', 'hilang']","['jelek', 'suka', 'vitur', 'wetty', 'hilang']",neutral
Angel Rebecca,selesai di update kok gak bisa masuk ya,1,11.15.1,2025-10-05 15:02:48,,,selesai di update kok gak bisa masuk ya,"['selesai', 'di', 'update', 'kok', 'tidak', 'bisa', 'masuk', 'iya']","['selesai', 'di', 'update', 'kok', 'tidak', 'bisa', 'masuk', 'iya']","['update', 'masuk']",negative
safa Islami,"apk nya seru banget, cuma ya kadang maisha ada beberapa error atau bug yang ngeselin banget",4,11.12.2,2025-10-05 14:40:06,,,"apk nya seru banget, cuma ya kadang maisha ada beberapa error atau bug yang ngeselin banget","['aplikasi', 'nya', 'seru', 'banget', 'cuma', 'iya', 'kadang', 'maisha', 'ada', 'beberapa', 'error', 'atau', 'bug', 'yang', 'ngeselin', 'banget']","['aplikasi', 'nya', 'seru', 'banget', 'cuma', 'iya', 'kadang', 'maisha', 'ada', 'beberapa', 'error', 'atau', 'bug', 'yang', 'ngeselin', 'banget']","['seru', 'maisha', 'error', 'bug', 'ngeselin']",positive
