userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,content_casefold,content_tokenized,content_stemmed,content_filtered,label
Ira Harisma,"makin ga nyaman pake nya sekarang,gak kepencet tapi tibatiba masuk ke apk shope, sering begitu,mana pas buka update cerita baru,dia malah mulai dari awal kebuka aplikasinya",2,11.13.0,2025-09-25 11:14:33,,,"makin ga nyaman pake nya sekarang,gak kepencet tapi tibatiba masuk ke apk shope, sering begitu,mana pas buka update cerita baru,dia malah mulai dari awal kebuka aplikasinya","['makin', 'tidak', 'nyaman', 'pakai', 'nya', 'sekarang', 'tidak', 'kepencet', 'tapi', 'tibatiba', 'masuk', 'ke', 'aplikasi', 'shope', 'sering', 'begitu', 'mana', 'pas', 'buka', 'update', 'cerita', 'baru', 'dia', 'malah', 'mulai', 'dari', 'awal', 'kebuka', 'tolong', 'as', 'in', 'iya']","['makin', 'tidak', 'nyaman', 'pakai', 'nya', 'sekarang', 'tidak', 'pencet', 'tapi', 'tibatiba', 'masuk', 'ke', 'aplikasi', 'shope', 'sering', 'begitu', 'mana', 'pas', 'buka', 'update', 'cerita', 'baru', 'dia', 'malah', 'mulai', 'dari', 'awal', 'buka', 'tolong', 'as', 'in', 'iya']","['nyaman', 'tibatiba', 'masuk', 'shope', 'update', 'cerita', 'awal', 'as', 'in']",negative
Arana Rara,"Makin update makin ga jls. pdhl udh lama login malah tiba² di suruh login lagi, pas udh login ga lama di suruh login lg ini maksdunya apaan? udh banyak gonta ganti akun buat login tp tetep aja katanya 'pengguna belum login' semoga kedepannya di perbaiki semua kesalahan ya. udh di titik gedeg karna di suruh login mulu :)",1,11.15.1,2025-09-25 10:14:04,,,"makin update makin ga jls. pdhl udh lama login malah tiba² di suruh login lagi, pas udh login ga lama di suruh login lg ini maksdunya apaan? udh banyak gonta ganti akun buat login tp tetep aja katanya 'pengguna belum login' semoga kedepannya di perbaiki semua kesalahan ya. udh di titik gedeg karna di suruh login mulu :)","['makin', 'update', 'makin', 'tidak', 'jelas', 'padahal', 'sudah', 'lama', 'login', 'malah', 'tiba', 'di', 'suruh', 'login', 'lagi', 'pas', 'sudah', 'login', 'tidak', 'lama', 'di', 'suruh', 'login', 'lg', 'ini', 'maksdunya', 'apaan', 'sudah', 'banyak', 'gonta', 'ganti', 'akun', 'buat', 'login', 'tapi', 'tetap', 'aja', 'katanya', 'pengguna', 'belum', 'login', 'semoga', 'kedepannya', 'di', 'perbaiki', 'semua', 'kesalahan', 'iya', 'sudah', 'di', 'titik', 'gedeg', 'karena', 'di', 'suruh', 'login', 'mulu']","['makin', 'update', 'makin', 'tidak', 'jelas', 'padahal', 'sudah', 'lama', 'login', 'malah', 'tiba', 'di', 'suruh', 'login', 'lagi', 'pas', 'sudah', 'login', 'tidak', 'lama', 'di', 'suruh', 'login', 'lg', 'ini', 'maksdunya', 'apa', 'sudah', 'banyak', 'gonta', 'ganti', 'akun', 'buat', 'login', 'tapi', 'tetap', 'aja', 'kata', 'guna', 'belum', 'login', 'moga', 'depan', 'di', 'baik', 'semua', 'salah', 'iya', 'sudah', 'di', 'titik', 'gedeg', 'karena', 'di', 'suruh', 'login', 'mulu']","['update', 'lama', 'login', 'login', 'login', 'lama', 'login', 'lg', 'maksdunya', 'gonta', 'akun', 'login', 'kata', 'login', 'baik', 'titik', 'gedeg', 'login']",negative
Amelia risya,kenapa udah 3 hari ini ga bisa di buka? di apk atau di web. bug nya ga ga jelas,1,11.15.1,2025-09-25 09:21:33,,,kenapa udah 3 hari ini ga bisa di buka? di apk atau di web. bug nya ga ga jelas,"['kenapa', 'sudah', 'hari', 'ini', 'tidak', 'bisa', 'di', 'buka', 'di', 'aplikasi', 'atau', 'di', 'web', 'bug', 'nya', 'tidak', 'tidak', 'jelas']","['kenapa', 'sudah', 'hari', 'ini', 'tidak', 'bisa', 'di', 'buka', 'di', 'aplikasi', 'atau', 'di', 'web', 'bug', 'nya', 'tidak', 'tidak', 'jelas']","['web', 'bug']",negative
Keisha Desfiani,Seru abiess,1,,2025-09-25 08:33:59,,,seru abiess,"['seru', 'abiess']","['seru', 'abiess']","['seru', 'abiess']",positive
Satria Dola,kenapa tidak bisa buka home nya?mohon dibantu,1,11.15.1,2025-09-25 07:40:19,,,kenapa tidak bisa buka home nya?mohon dibantu,"['kenapa', 'tidak', 'bisa', 'buka', 'home', 'nya', 'mohon', 'dibantu']","['kenapa', 'tidak', 'bisa', 'buka', 'home', 'nya', 'mohon', 'bantu']",['home'],negative
Febyanti Pertiwi,"ko saya daftar tida bisa ya? selalu ada tulisan ""tidak bisa masuk saat ini.silakan coba lagi (16)"" padahal saya sudah mencoba beberapa kali tapi tetap aja ga bisa",1,11.15.1,2025-09-25 05:46:25,,,"ko saya daftar tida bisa ya? selalu ada tulisan ""tidak bisa masuk saat ini.silakan coba lagi (16)"" padahal saya sudah mencoba beberapa kali tapi tetap aja ga bisa","['ko', 'saya', 'daftar', 'tida', 'bisa', 'iya', 'selalu', 'ada', 'tulisan', 'tidak', 'bisa', 'masuk', 'saat', 'ini', 'silakan', 'coba', 'lagi', 'padahal', 'saya', 'sudah', 'mencoba', 'beberapa', 'kali', 'tapi', 'tetap', 'aja', 'tidak', 'bisa']","['ko', 'saya', 'daftar', 'tida', 'bisa', 'iya', 'selalu', 'ada', 'tulis', 'tidak', 'bisa', 'masuk', 'saat', 'ini', 'sila', 'coba', 'lagi', 'padahal', 'saya', 'sudah', 'coba', 'beberapa', 'kali', 'tapi', 'tetap', 'aja', 'tidak', 'bisa']","['daftar', 'tida', 'tulis', 'masuk', 'sila']",negative
athayaa syaqelaa,"burikkkk sgt sgt burikkkk, login ulang mlh gbsa trs emg burikkkkk👎👎👎",1,,2025-09-25 03:43:41,,,"burikkkk sgt sgt burikkkk, login ulang mlh gbsa trs emg burikkkkk👎👎👎","['burik', 'sgt', 'sgt', 'burik', 'login', 'ulang', 'mlh', 'gbsa', 'terus', 'emg', 'burik']","['burik', 'sgt', 'sgt', 'burik', 'login', 'ulang', 'mlh', 'gbsa', 'terus', 'emg', 'burik']","['burik', 'sgt', 'sgt', 'burik', 'login', 'mlh', 'gbsa', 'emg', 'burik']",negative
Ari Yanto,lama² nggak jelas aplikasinya. bikin males baca disini,2,11.7.0,2025-09-25 01:54:40,,,lama² nggak jelas aplikasinya. bikin males baca disini,"['lama', 'tidak', 'jelas', 'tolong', 'as', 'in', 'iya', 'bikin', 'males', 'baca', 'disini']","['lama', 'tidak', 'jelas', 'tolong', 'as', 'in', 'iya', 'bikin', 'males', 'baca', 'sini']","['lama', 'as', 'in', 'males', 'baca']",negative
widya assyura,kebanyakan iklan,1,,2025-09-25 01:09:15,,,kebanyakan iklan,"['kebanyakan', 'iklan']","['banyak', 'iklan']",['iklan'],neutral
Fitri Witin,lumayan bgsss,2,11.14.1,2025-09-24 18:44:41,,,lumayan bgsss,"['lumayan', 'bgs']","['lumayan', 'bgs']",['bgs'],positive
Arnii Afrianii,tbtb error gajelas bacaan semua Hilang.tolong diperbaiki secepatnya sistemnya wattpadd,1,,2025-09-24 15:23:49,,,tbtb error gajelas bacaan semua hilang.tolong diperbaiki secepatnya sistemnya wattpadd,"['tbtb', 'error', 'gajelas', 'bacaan', 'semua', 'hilang', 'tolong', 'diperbaiki', 'secepatnya', 'sistemnya', 'wattpadd']","['tbtb', 'error', 'gajelas', 'baca', 'semua', 'hilang', 'tolong', 'baik', 'cepat', 'sistem', 'wattpadd']","['tbtb', 'error', 'gajelas', 'baca', 'hilang', 'baik', 'cepat', 'sistem', 'wattpadd']",negative
Salma Azzahra,"gabisa masuk, gabisa terdaftar",1,11.15.0,2025-09-24 14:08:46,,,"gabisa masuk, gabisa terdaftar","['gabisa', 'masuk', 'gabisa', 'terdaftar']","['gabisa', 'masuk', 'gabisa', 'daftar']","['gabisa', 'masuk', 'gabisa', 'daftar']",negative
Zaskia Kia,jaringan harus BAGUS BANGET padahal di apk lain bagus bagus aja jadi bikin malas buat baca,1,11.15.1,2025-09-24 13:36:50,,,jaringan harus bagus banget padahal di apk lain bagus bagus aja jadi bikin malas buat baca,"['jaringan', 'harus', 'bagus', 'banget', 'padahal', 'di', 'aplikasi', 'lain', 'bagus', 'bagus', 'aja', 'jadi', 'bikin', 'malas', 'buat', 'baca']","['jaring', 'harus', 'bagus', 'banget', 'padahal', 'di', 'aplikasi', 'lain', 'bagus', 'bagus', 'aja', 'jadi', 'bikin', 'malas', 'buat', 'baca']","['jaring', 'malas', 'baca']",positive
Ayundadwei Dewi,"sekarang masuknya ribet dulu aku sempet punya wp daftar nya pake aku ggl tapi ga bisa aku log gatau kenapa, trus klo log itu lamaa banget, mohon untuk developer tolong di perbaiki ya kalo bisa kembaliin wp kaya dulu aja",2,10.84.0,2025-09-24 11:23:34,,,"sekarang masuknya ribet dulu aku sempet punya wp daftar nya pake aku ggl tapi ga bisa aku log gatau kenapa, trus klo log itu lamaa banget, mohon untuk developer tolong di perbaiki ya kalo bisa kembaliin wp kaya dulu aja","['sekarang', 'masuknya', 'ribet', 'dulu', 'aku', 'sempet', 'punya', 'wattpad', 'daftar', 'nya', 'pakai', 'aku', 'ggl', 'tapi', 'tidak', 'bisa', 'aku', 'login', 'gatau', 'kenapa', 'terus', 'kalau', 'login', 'itu', 'lamaa', 'banget', 'mohon', 'untuk', 'developer', 'tolong', 'di', 'perbaiki', 'iya', 'kalau', 'bisa', 'kembaliin', 'wattpad', 'seperti', 'dulu', 'aja']","['sekarang', 'masuk', 'ribet', 'dulu', 'aku', 'sempet', 'punya', 'wattpad', 'daftar', 'nya', 'pakai', 'aku', 'ggl', 'tapi', 'tidak', 'bisa', 'aku', 'login', 'gatau', 'kenapa', 'terus', 'kalau', 'login', 'itu', 'lamaa', 'banget', 'mohon', 'untuk', 'developer', 'tolong', 'di', 'baik', 'iya', 'kalau', 'bisa', 'kembaliin', 'wattpad', 'seperti', 'dulu', 'aja']","['masuk', 'ribet', 'sempet', 'daftar', 'ggl', 'login', 'login', 'lamaa', 'developer', 'baik', 'kembaliin']",positive
A.R KANCIL,"udah update masih aja ada tulisan ""mari kita temukan jalan pulang"" sudah 3x di liga out malah eror g bisa masuk sama sekali ini gimana?.",1,11.15.1,2025-09-24 10:49:04,,,"udah update masih aja ada tulisan ""mari kita temukan jalan pulang"" sudah 3x di liga out malah eror g bisa masuk sama sekali ini gimana?.","['sudah', 'update', 'masih', 'aja', 'ada', 'tulisan', 'mari', 'kita', 'temukan', 'jalan', 'pulang', 'sudah', 'kali', 'di', 'liga', 'out', 'malah', 'error', 'tidak', 'bisa', 'masuk', 'sama', 'sekali', 'ini', 'gimana']","['sudah', 'update', 'masih', 'aja', 'ada', 'tulis', 'mari', 'kita', 'temu', 'jalan', 'pulang', 'sudah', 'kali', 'di', 'liga', 'out', 'malah', 'error', 'tidak', 'bisa', 'masuk', 'sama', 'sekali', 'ini', 'gimana']","['update', 'tulis', 'liga', 'out', 'error', 'masuk']",negative
di_ dita024,"min, aku udah lama download kenapa tiba2 ada tulisan ulang ulang terus, ini gak sekali 2 kali loh kak tapi yang kali ini bener2 gak bisa loh buat masuk ke aplikasi nya udah logout sendiri, udah aku update juga, di perbaiki lagi ya kak min gimana caranya biar gak logout sendiri gitu? mau masukin akun sama sandi lagi juga gak bisa bahkan buat akun baru juga gak bisa masuk, TOLONG DIJAWAB YA MIN!??",1,11.15.1,2025-09-24 09:45:35,,,"min, aku udah lama download kenapa tiba2 ada tulisan ulang ulang terus, ini gak sekali 2 kali loh kak tapi yang kali ini bener2 gak bisa loh buat masuk ke aplikasi nya udah logout sendiri, udah aku update juga, di perbaiki lagi ya kak min gimana caranya biar gak logout sendiri gitu? mau masukin akun sama sandi lagi juga gak bisa bahkan buat akun baru juga gak bisa masuk, tolong dijawab ya min!??","['min', 'aku', 'sudah', 'lama', 'simpan', 'kenapa', 'tiba', 'ada', 'tulisan', 'ulang', 'ulang', 'terus', 'ini', 'tidak', 'sekali', 'kali', 'loh', 'kak', 'tapi', 'yang', 'kali', 'ini', 'benar', 'tidak', 'bisa', 'loh', 'buat', 'masuk', 'ke', 'aplikasi', 'nya', 'sudah', 'logout', 'sendiri', 'sudah', 'aku', 'update', 'juga', 'di', 'perbaiki', 'lagi', 'iya', 'kak', 'min', 'gimana', 'caranya', 'biar', 'tidak', 'logout', 'sendiri', 'gitu', 'mau', 'masukin', 'akun', 'sama', 'sandi', 'lagi', 'juga', 'tidak', 'bisa', 'bahkan', 'buat', 'akun', 'baru', 'juga', 'tidak', 'bisa', 'masuk', 'tolong', 'dijawab', 'iya', 'min']","['min', 'aku', 'sudah', 'lama', 'simpan', 'kenapa', 'tiba', 'ada', 'tulis', 'ulang', 'ulang', 'terus', 'ini', 'tidak', 'sekali', 'kali', 'loh', 'kak', 'tapi', 'yang', 'kali', 'ini', 'benar', 'tidak', 'bisa', 'loh', 'buat', 'masuk', 'ke', 'aplikasi', 'nya', 'sudah', 'logout', 'sendiri', 'sudah', 'aku', 'update', 'juga', 'di', 'baik', 'lagi', 'iya', 'kak', 'min', 'gimana', 'cara', 'biar', 'tidak', 'logout', 'sendiri', 'gitu', 'mau', 'masukin', 'akun', 'sama', 'sandi', 'lagi', 'juga', 'tidak', 'bisa', 'bahkan', 'buat', 'akun', 'baru', 'juga', 'tidak', 'bisa', 'masuk', 'tolong', 'jawab', 'iya', 'min']","['lama', 'simpan', 'tulis', 'masuk', 'logout', 'update', 'baik', 'logout', 'akun', 'sandi', 'akun', 'masuk']",negative
Yelisa Lisa,tolong aying lemot amatt masuk wp nya nape dah ruang kgk ada penuh tolong perbaikan lahh,2,,2025-09-24 02:52:15,,,tolong aying lemot amatt masuk wp nya nape dah ruang kgk ada penuh tolong perbaikan lahh,"['tolong', 'aying', 'lag', 'amatt', 'masuk', 'wattpad', 'nya', 'nape', 'dah', 'ruang', 'kgk', 'ada', 'penuh', 'tolong', 'perbaikan', 'lahh']","['tolong', 'aying', 'lag', 'amatt', 'masuk', 'wattpad', 'nya', 'nape', 'dah', 'ruang', 'kgk', 'ada', 'penuh', 'tolong', 'baik', 'lahh']","['aying', 'lag', 'amatt', 'masuk', 'nape', 'ruang', 'kgk', 'penuh', 'baik', 'lahh']",negative
Ari Purnama,"apalah wattpqd maķin kesini bukan makin baik, mohon untuk segera di perbaiki",1,11.13.0,2025-09-24 02:50:56,,,"apalah wattpqd maķin kesini bukan makin baik, mohon untuk segera di perbaiki","['apalah', 'wattpqd', 'makin', 'kesini', 'bukan', 'makin', 'baik', 'mohon', 'untuk', 'segera', 'di', 'perbaiki']","['apa', 'wattpqd', 'makin', 'kesini', 'bukan', 'makin', 'baik', 'mohon', 'untuk', 'segera', 'di', 'baik']","['wattpqd', 'baik', 'baik']",negative
Fikri Fitriah,kenapa dengan wattpad sekarang!!! 🙄🙄 udah hapus download terus aplikasi sama aja eror terus ga mau masuk. apa udah ga butuh para pembaca setia cerita di aplikasi wattpad lagi kah????,1,,2025-09-23 22:26:10,,,kenapa dengan wattpad sekarang!!! 🙄🙄 udah hapus download terus aplikasi sama aja eror terus ga mau masuk. apa udah ga butuh para pembaca setia cerita di aplikasi wattpad lagi kah????,"['kenapa', 'dengan', 'wattpad', 'sekarang', 'sudah', 'hapus', 'simpan', 'terus', 'aplikasi', 'sama', 'aja', 'error', 'terus', 'tidak', 'mau', 'masuk', 'apa', 'sudah', 'tidak', 'butuh', 'para', 'pembaca', 'setia', 'cerita', 'di', 'aplikasi', 'wattpad', 'lagi', 'kah']","['kenapa', 'dengan', 'wattpad', 'sekarang', 'sudah', 'hapus', 'simpan', 'terus', 'aplikasi', 'sama', 'aja', 'error', 'terus', 'tidak', 'mau', 'masuk', 'apa', 'sudah', 'tidak', 'butuh', 'para', 'baca', 'setia', 'cerita', 'di', 'aplikasi', 'wattpad', 'lagi', 'kah']","['hapus', 'simpan', 'error', 'masuk', 'butuh', 'baca', 'setia', 'cerita']",negative
Win Wiwin,"Kenapa setiap buka di website pasti ada aja cerita yg hilang/ ""halaman ini tidak tersedia"" ya? pdhl di hp yg lain masih ada",4,,2025-09-23 18:19:28,,,"kenapa setiap buka di website pasti ada aja cerita yg hilang/ ""halaman ini tidak tersedia"" ya? pdhl di hp yg lain masih ada","['kenapa', 'setiap', 'buka', 'di', 'website', 'pasti', 'ada', 'aja', 'cerita', 'yang', 'hilang', 'halaman', 'ini', 'tidak', 'tersedia', 'iya', 'padahal', 'di', 'hp', 'yang', 'lain', 'masih', 'ada']","['kenapa', 'tiap', 'buka', 'di', 'website', 'pasti', 'ada', 'aja', 'cerita', 'yang', 'hilang', 'halaman', 'ini', 'tidak', 'sedia', 'iya', 'padahal', 'di', 'hp', 'yang', 'lain', 'masih', 'ada']","['website', 'cerita', 'hilang', 'halaman']",negative
